"label","labelOO","labelCi"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia_Copia_Copia_Copia_Copia","Sede di Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Giornate Europee del Patrimonio 2020","Sede di Direzione Regionale Musei Molise","Venafro"
"GLI ITALIANI DELL'ALTROVE: Cimbri e Mòcheni","Sede di Istituto Centrale per il patrimonio immateriale","Roma"
"Giornate Europee del Patrimonio 2020  Polo Museale Civico di Giulianova","Sede di Direzione Regionale Musei Abruzzo","Giulianova"
"Giornate Europee del Patrimonio 2020: ingresso gratuito ai musei di Fermo","Sede di Direzione Regionale Musei Marche","Fermo"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica - “Misurare la Terra”: la riscoperta dell’epigrafe napoleonica di Cecilia Metella","Sede di Parco archeologico dell'Appia antica - Villa di Capo di Bove","Roma"
"Giornate Europee del Patrimonio 2020 Archivio di Stato di Latina","Sede di Archivio di Stato di Latina","Latina"
"Giornate Europee del Patrimonio 2020 - Imparare per la vita","Sede di Soprintendenza Archivistica e Bibliografica della Calabria","Reggio di Calabria"
"Giornate europee del patrimonio. Le iniziative del Segretariato regionale del MiBACT per la Puglia","Sede di Segretariato Regionale del Ministero della cultura per la Puglia","Bari"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Imperia","Imperia"
"Giornate Europee del Patrimonio 2020","Sede di Museo sannitico","Campobasso"
"Giornate Europee del Patrimonio 2020","Sede di Museo di Comunità della Festa del Grano di Jelsi","Jelsi"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Caserta","Caserta"
"Giornate europee del Patrimonio 2020","Sede di Archivio di Stato di Chieti","Chieti"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Enna","Enna"
"Giornate Europee del Patrimonio 2020 - Archivio di Stato di Campobasso","Sede di Archivio di Stato di Campobasso","Campobasso"
"Giornate Europee del Patrimonio 2020 - Sezione di Archivio di Stato di Camerino","Sede di Archivio di Stato di Macerata - Sezione di Camerino","Camerino"
"GIORNATE EUROPEE DEL PATRIMONIO 2020","Sede di Archivio di Stato di Teramo","Teramo"
"Giornate Europee del Patrimonio 2020","Sede di Santuario italico","Pietrabbondante"
"GIORNATE EUROPEE DEL PATRIMONIO2020","Sede di Archivio di Stato di Teramo","Teramo"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Firenze","Firenze"
"Giornate europee del Patrimonio 2020","Sede di Archivio di Stato di Lecce","Lecce"
"Giornate Europee delPatrimonio","Sede di Archivio di Stato di Ancona","Ancona"
"Giornate Europee del Patrimonio 2020","Sede di Museo nazionale del Paleolitico di Isernia","Isernia"
"Giornate Europee del Patrimonio 2020","Sede di Museo nazionale di Castello Pandone","Venafro"
"Giornate Europee del Patrimonio 2020","Sede di Museo archeologico di Venafro","Venafro"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Caltanissetta","Caltanissetta"
"Giornate Europee del Patrimonio 2020","Sede di Museo Palazzo Pistilli","Campobasso"
"Giornate Europee del Patrimonio 2020","Sede di Complesso monumentale di San Vincenzo al Volturno","Castel San Vincenzo"
"Giornate Europee del Patrimonio 2020","Sede di Castello di Civitacampomarano","Civitacampomarano"
"Giornate Europee del Patrimonio 2020","Sede di Parco archeologico di Sepino - Museo della città e del territorio","Sepino"
"GIORNATE EUROPEE DEL PATRIMONIO 2020","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Brindisi e Lecce","Lecce"
"GIORNATE EUROPEE DEL PATRIMONIO 2020","Sede di Chiostro di San Domenico","Cagliari"
"Giornate Europee del Patrimonio 2020","Sede di Castello di Capua","Gambatesa"
"Giornate Europee del Patrimonio 2020. Apertura straordinaria del Museo Archeologico Nazionale della Lomellina","Sede di Museo archeologico nazionale della Lomellina","Vigevano"
"Giornate Europee del Patrimonio 2020","Sede di Soprintendenza Archivistica e Bibliografica della Puglia","Bari"
"Giornate europee patrimonio Sezione di Urbino","Sede di Archivio di Stato di Pesaro-Urbino. Sezione di Urbino","Urbino"
"Giornate Europee del Patrimonio 2020: Apertura straordinaria dalle ore 15:30 alle 19:30.","Sede di Archivio di Stato di Sassari","Sassari"
"Giornate europee del Patrimonio 2020","Sede di Soprintendenza Archivistica e Bibliografica della Basilicata","Potenza"
"Giornate Europee del Patrimonio 2020 Fondazione Museo R. Paparella Treccia e M. Devlet ONLUS","Sede di Direzione Regionale Musei Abruzzo","Chieti"
"Giornate Europee del Patrimonio all'Archivio di Stato di Padova","Sede di Archivio di Stato di Padova","Padova"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Salerno","Salerno"
"Giornate Europee del Patrimonio 2020  Istituto Cinematografico dell’Aquila “La Lanterna Magica”","Sede di Direzione Regionale Musei Abruzzo","Chieti"
"GIOVANI CREATIVI Le origini del Genio. Anteprima per la stampa","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"Gli studenti presentano il progetto educativo “A macchia d’olio”","Sede di Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Giornate Europee del Patrimonio 26-27 settembre 2020 - Visita guidata","Sede di Direzione Regionale Musei Veneto","Venezia"
"Gli imperdibili del mare","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Gli antenati dipinti","Sede di Museo del sigillo","La Spezia"
"Giornate Europee del Patrimonio e Domenica di Carta 2020","Sede di Archivio di Stato di Verona","Verona"
"Giornate Europee del Patrimonio, 26 e 27 settembre 2020","Sede di Museo archeologico nazionale del Melfese ""Massimo Pallottino""","Melfi"
"Giornate Europee del Patrimonio 2020 Castello Piccolomini_Copia","Sede di Castello Piccolomini - Collezione Torlonia e Museo d'Arte Sacra della Marsica","Celano"
"GIORNATE EUROPEE DEL PATRIMONIO 2020","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la Provincia di Cosenza","Cosenza"
"Gli incantesimi della mitologia: dal divino al terreno","Sede di Area archeologica del Teatro romano di Benevento","Benevento"
"Giornate Europee del Patrimonio al Complesso Monumentale della Pilotta: apertura straordinaria GEP 2020","Sede di Complesso Monumentale della Pilotta","Parma"
"Giornate Europee del Patrimonio al Complesso Monumentale della Pilotta: apertura straordinaria serale GEP 2020","Sede di Complesso Monumentale della Pilotta","Parma"
"Giornate europee del patrimonio Archivio di Stato di Pesaro_Copia","Sede di Archivio di Stato di Pesaro-Urbino","Pesaro"
"Giornate Europee del Patrimonio alla Fondazione Marini Clarelli Santi","Sede di Direzione Regionale Musei Umbria","Perugia"
"Grotta del Mitreo - Apertura straordinaria serale e visite guidate all’area archeologica","Sede di Grotta del Mitreo (Duino Aurisina)","Duino-Aurisina"
"Giornate Europee del Patrimonio 2020 - Imparare per la vita - Parco Archeologico di Pompei - Apertura serale","Sede di Parco Archeologico di Pompei","Pompei"
"Giornate Europee del Patrimonio 2020 - Apertura straordinaria al Museo archeologico lametino","Sede di Museo archeologico lametino","Lamezia Terme"
"Giuornate Europee del Patrimonio","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Benevento"
"Gli Exultet del Museo Diocesano per una strategia di valorizzazione a favore della Città","Sede di Ufficio Stampa e Comunicazione","Bari"
"Giornate Europee del Patrimonio- DRMUmb","Sede di Necropoli etrusca di Crocifisso del Tufo","Orvieto"
"GIORNATE EUROPEE DEL PATRIMONIO A MIRAMARE","Sede di Museo storico e il Parco del Castello di Miramare","Trieste"
"Giornate Europee del PAtrimonio -DRMUmb","Sede di Museo archeologico nazionale e Teatro romano di Spoleto","Spoleto"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Frosinone","Frosinone"
"GIORNATE EUROPEE DEL PATRIMONIO del 26 e 27 Settembre 2020","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per il Comune di Napoli","Napoli"
"GIORNATE EUROPEE DEL PATRIMONIO del 26 e 27 Settembre 2020_Copia","Sede di Complesso termale di Via Terracina","Napoli"
"Gli Esercizi di Sciascia di e con Bruno Crucitti","Sede di Biblioteca Vallicelliana","Roma"
"GIORNATE EUROPEE DEL PATRIMONIO 2020","Sede di Biblioteca Statale del Monumento Nazionale di Grottaferrata","Grottaferrata"
"Giornate europee del patrimonio_Copia","Sede di Museo delle Civiltà","Roma"
"Giornate Europee del Patrimonio all'ETRU - 26 settembre","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Giornate Europee del Patrimonio all'ETRU - 26 settembre (sera)","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Giornate Europee del Patrimonio all'ETRU - Domenica 27 settembre","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Giornate europee del patrimonio alla Biblioteca nazionale centrale di Roma","Sede di Biblioteca Nazionale Centrale di Roma","Roma"
"Giornate Europee del Patrimonio 2020","Sede di Biblioteca Universitaria di Genova","Genova"
"Giornate Europee del Patrimonio 2020 - Apertura straordinaria della Biblioteca Statale di Macerata","Sede di Biblioteca Statale di Macerata","Macerata"
"Giornate Europee del Patrimonio 2020 al Castello di Copertino","Sede di Castello di Copertino","Copertino"
"Giornate europee del Patrimonio : Palazzo Farnese aperto e contenuti inediti sul sito e sui social.","Sede di Ufficio di Gabinetto","Roma"
"Giornate Europee del Patrimonio 2020 - Un tesoro da scoprire: Primo Panciroli negli affreschi della Chiesa del Rosario di Bagnara Calabra","Sede di Direzione regionale Musei Calabria","Bagnara Calabra"
"Giornate Europee del Patrimonio 2020 al Carcere Borbonico","Sede di Carcere Borbonico","Avellino"
"Giornate Europee del Patrimonio a cura della Soprintendenza Archeologia, belle arti e paesaggio per le province di Sassari e Nuoro","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro","Sassari"
"Giornate Europee del Patrimonio a Palazzo Zevallos Stigliano","Sede di Direzione Regionale Musei Campania","Napoli"
"GIORNATE EUROPEE DEL PATRIMONIO. Il 26 e 27 Settembre 2020, Apertura straordinaria delle Sale Pompeiane di Palazzo Reale","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per il Comune di Napoli","Napoli"
"GIORNATE EUROPEE DEL PATRIMONIO. Il 26 e 27 Settembre 2020, Apertura straordinaria delle Sale Pompeiane di Palazzo Reale_Copia","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per il Comune di Napoli","Napoli"
"Giuseppe Dezza beyond the image El Salvador, 1990 - 1996","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Giornate Europee del Patrimonio 2020 – Il Museo dei Brettii e degli Enotri tra archeologia, arte contemporanea e concerti","Sede di Museo dei Brettii e degli Enotri","Cosenza"
"GIORNATE EUROPEE DEL PATRIMONIO 2020 - PAN Parco Amphitheatrum naturae. Alla scoperta dei ritrovamenti dell’Anfiteatro romano di Milano","Sede di Ministero della cultura","Milano"
"Gli archivi della politica: le attività di tutela della Soprintendenza  archivistica e bibliografica dell’Umbria","Sede di Soprintendenza archivistica e bibliografica dell'Umbria","Perugia"
"Gipo Anfosso, Gia' che sei in piedi","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Gli affreschi di Giusto De' Menabuoi al Battistero di Padova","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Venezia e le province di Belluno, Padova e Treviso","Padova"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento. Romeyne Robert: Un’americana a Palazzo Sorbello","Sede di Casa-Museo di Palazzo Sorbello","Perugia"
"Gradara. Rocca Demaniale","Sede di Rocca demaniale di Gradara","Gradara"
"Gli stemmi parlano","Sede di Castello Scaligero di Sirmione","Sirmione"
"Presentazione live streaming volume ""Records Management. ISO 15489: progettare sistemi documentali""","Sede di Archivio di Stato di Milano","Milano"
"Racconti di un restauro","Sede di Villa Romana e Antiquarium","Desenzano del Garda"
"Primitive Elements","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze","Napoli"
"Prosegue la rassegna video di approfondimento sulla mostra al MAF ""Tesori dalle terre d’Etruria. La collezione dei conti Passerini, Patrizi di Firenze e Cortona""","Sede di Museo archeologico nazionale di Firenze","Firenze"
"Raccontiamo i ricordi","Sede di Castello Scaligero di Sirmione","Sirmione"
"presentazione libro","Sede di Biblioteca Universitaria di Genova","Genova"
"Progetto di valorizzazione e raccolta partecipata dei paesaggi culturali emiliano-romagnoli","Sede di Direzione Regionale Musei Emilia Romagna","Bologna"
"Presentazione Virtual Tour - Metaponto,Parco archeologico e Tavole Palatine","Sede di Museo archeologico nazionale di Metaponto","Bernalda"
"Prima della Prima | Scene di un Inferno nel XXI secolo","Sede di Direzione Regionale Musei Lazio","Roma"
"Quando la meraviglia si fa giardino","Sede di Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"Questioni di prospettive. Storie di altri mondi ""Il Moro Bianco alla corte di Cosimo III de’ Medici e La Cina nelle collezioni del Granduca: piante esotiche, rami fioriti ma anche terribili punizioni e torture""","Sede di Villa medicea della Petraia","Firenze"
"Presentazione volume di Paolo Pellegrini, Dante Alighieri. Una vita, Torino, Einaudi, 2021","Sede di Archivio di Stato di Belluno","Belluno"
"Presentazione delle Terme romane di Frosinone","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Frosinone e Latina","Frosinone"
"Presentazione nuovi video in LIS","Sede di Castello svevo di Bari","Bari"
"Protocollo d’intesa tra il MArTA e il Politecnico di Bari","Sede di Museo archeologico nazionale di Taranto","Taranto"
"QUANDO L'ITALIA NON ERA UNITA. Storie e personaggi dagli Archivi di Stato","Sede di Archivio di Stato di Matera","Matera"
"Quante storie nella Storia 20a Settimana della didattica e dell’educazione al patrimonio in archivio","Sede di Archivio di Stato di Modena","Modena"
"Presentazione del volume di Paolo Pellegrini ""Dante. Una vita"", Einaudi, 2021","Sede di Archivio di Stato di Belluno","Belluno"
"Quante storie nella storia. Settimana della didattica e dell'educazione al patrimonio in Archivio.","Sede di Archivio di Stato di Piacenza","Piacenza"
"QUANTE STORIE NELLA STORIA","Sede di Soprintendenza Archivistica e Bibliografica dell’Emilia-Romagna","Bologna"
"Programmazione week-end","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Presentazione dell’opera Centimetro Quadrato","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"Presentazione della nuova guida della Villa medicea di Cerreto Guidi sabato 22 maggio e degli altri progetti di valorizzazione del territorio","Sede di Villa medicea di Cerreto Guidi e Museo storico della Caccia e del Territorio","Cerreto Guidi"
"Presentazione del volume: Il Belvedere di San Leucio. Guida","Sede di Biblioteca Universitaria di Napoli","Napoli"
"Presentazione del volume di Daniele Salvi: “La Post Regione”.","Sede di Biblioteca Statale di Macerata","Macerata"
"Presentazioni delle nuove acquisizioni della Pinacoteca nazionale di Siena - Francesco Vanni","Sede di Pinacoteca nazionale di Siena","Siena"
"Progetto FISH.&C.H.I.P.S.","Sede di Museo archeologico nazionale di Taranto","Taranto"
"Presentazione volume ""Questione di anima""","Sede di Complesso monumentale della Pilotta - Biblioteca Palatina di Parma","Parma"
"Raffaello a Capodimonte: l’officina dell’artista","Sede di Museo e Real Bosco di Capodimonte","Napoli"
"Proiezioni","Sede di Parco archeologico dei Campi Flegrei - Anfiteatro Flavio, Puteoli","Pozzuoli"
"Presentiamo il nuraghe Monte Carru II di Alghero","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro","Sassari"
"Principi vanitosi e abili artigiani","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"Presentazione libro ""Il bene e il meglio. L'epistolario ritrovato di Mallio Duilio Galerio""","Sede di Museo nazionale di Villa Guinigi","Lucca"
"Prospettive castellari","Sede di Castello svevo di Trani","Trani"
"Protagonista per una sera al Museo e Pinacoteca","Sede di Museo archeologico nazionale di Cagliari","Cagliari"
"Raffaello e la Domus Aurea. L’invenzione delle grottesche","Sede di Parco archeologico del Colosseo - Domus Aurea","Roma"
"Racondite armonie. La musica nell’educazione della persona”.","Sede di Biblioteca Statale di Lucca","Lucca"
"QUEL SILENZIOSO BAGLIORE - Gottfried Helnwein","Sede di Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Presentazione libro Francescani nel Conero","Sede di Pinacoteca civica ""Francesco Podesti""","Ancona"
"Presentazione video e degustazione","Sede di Galleria Nazionale delle Marche","Urbino"
"Raccontare con la luce. Notte europea dei Musei a Palazzo Besta, Teglio","Sede di Palazzo Besta","Teglio"
